,f1-score,precision,recall,support
0.0,0.6523918331244933,0.9816992014196984,0.4885197041616072,18118.0
1.0,0.15832414553472987,0.09022367429002262,0.64568345323741,556.0
2.0,0.40165203923593185,0.26747650699060277,0.805939226519337,1448.0
3.0,0.09520725388601035,0.050239234449760764,0.9074074074074074,162.0
accuracy,0.5188325774009072,0.5188325774009072,0.5188325774009072,0.5188325774009072
macro avg,0.3268938179452913,0.34740965428752113,0.7118874478314404,20284.0
weighted avg,0.6164996640411183,0.8988382583479887,0.5188325774009072,20284.0
