,f1-score,precision,recall,support
0.0,0.8843935926773455,0.9888108071228764,0.7999227287780108,18118.0
1.0,0.3598290598290598,0.23598654708520178,0.7571942446043165,556.0
2.0,0.6666666666666667,0.5343606830487297,0.886049723756906,1448.0
3.0,0.17955112219451372,0.09986130374479889,0.8888888888888888,162.0
accuracy,0.8056103332676001,0.8056103332676001,0.8056103332676001,0.8056103332676001
macro avg,0.5226101103418964,0.4647548352504017,0.8330138965070305,20284.0
weighted avg,0.8488428655354934,0.928634121666972,0.8056103332676001,20284.0
