,f1-score,precision,recall,support
0.0,0.6610744374338963,0.9744113536178906,0.5002207749199691,18118.0
1.0,0.1159556180653227,0.06349478007872668,0.6672661870503597,556.0
2.0,0.5406401105226802,0.4055267702936097,0.8107734806629834,1448.0
3.0,0.11300373909430828,0.060579064587973276,0.8395061728395061,162.0
accuracy,0.5296785643857227,0.5296785643857227,0.5296785643857227,0.5296785643857227
macro avg,0.35766847627905185,0.3760029921445501,0.7044416538682046,20284.0
weighted avg,0.6331577335260191,0.9015334536788165,0.5296785643857227,20284.0
