,f1-score,precision,recall,support
0.0,0.723689259427216,0.9833159541188738,0.5725245612098465,18118.0
1.0,0.21070327822919585,0.12479256554928643,0.6762589928057554,556.0
2.0,0.37953014022946635,0.25772940885481077,0.7196132596685083,1448.0
3.0,0.10559662090813095,0.055991041433370664,0.9259259259259259,162.0
accuracy,0.5886905935712877,0.5886905935712877,0.5886905935712877,0.5886905935712877
macro avg,0.35487982469850227,0.35545724248908545,0.723580684902509,20284.0
weighted avg,0.6801232163595502,0.9005800560000559,0.5886905935712877,20284.0
