,f1-score,precision,recall,support
0.0,0.7564072180654773,0.9782818110167265,0.6165691577436803,18118.0
1.0,0.2624633431085044,0.16482504604051565,0.6438848920863309,556.0
2.0,0.3358053989913972,0.21382697393275407,0.7817679558011049,1448.0
3.0,0.17040358744394618,0.09506790564689063,0.8209876543209876,162.0
accuracy,0.6307434431078682,0.6307434431078682,0.6307434431078682,0.6307434431078682
macro avg,0.38126988690233127,0.36300043415922173,0.715802414988026,20284.0
weighted avg,0.708162452898053,0.8943588560722243,0.6307434431078682,20284.0
