,f1-score,precision,recall,support
0.0,0.8926641387752665,0.9722926829268292,0.8250910696544872,18118.0
1.0,0.3340837460603332,0.2228228228228228,0.6672661870503597,556.0
2.0,0.5058324496288441,0.41049913941480204,0.6588397790055248,1448.0
3.0,0.24584103512014785,0.14456521739130435,0.8209876543209876,162.0
accuracy,0.8088641293630447,0.8088641293630447,0.8088641293630447,0.8088641293630447
macro avg,0.4946053423961479,0.43754496563893963,0.7430461725078399,20284.0
weighted avg,0.8445726219627221,0.9050340484050389,0.8088641293630447,20284.0
