,f1-score,precision,recall,support
0.0,0.8963646228974498,0.9875132837407014,0.8206203775251132,18118.0
1.0,0.3424657534246575,0.22066458982346832,0.7643884892086331,556.0
2.0,0.7262280953748923,0.6217412690605018,0.8729281767955801,1448.0
3.0,0.20125786163522014,0.11347517730496454,0.8888888888888888,162.0
accuracy,0.8233583119700256,0.8233583119700256,0.8233583119700256,0.8233583119700256
macro avg,0.5415790833330549,0.485848579982409,0.8367064831045538,20284.0
weighted avg,0.8634848773539665,0.9334016724057822,0.8233583119700256,20284.0
