,f1-score,precision,recall,support
0.0,0.7135947308840177,0.9427173026375419,0.5740699856496302,18118.0
1.0,0.09830589358148414,0.05667125171939477,0.37050359712230213,556.0
2.0,0.31354581673306775,0.22032474804031354,0.5435082872928176,1448.0
3.0,0.06346328195829556,0.03424657534246575,0.43209876543209874,162.0
accuracy,0.5651745217905738,0.5651745217905738,0.5651745217905738,0.5651745217905738
macro avg,0.2972274307892163,0.313489969434929,0.4800451588742122,20284.0
weighted avg,0.6629788407264181,0.8596055751089932,0.5651745217905738,20284.0
