,f1-score,precision,recall,support
0.0,0.9809308428958315,0.9925419515226849,0.9695882547742577,18118.0
1.0,0.6603221083455344,0.5567901234567901,0.8111510791366906,556.0
2.0,0.9203896540141081,0.8960104643557881,0.9461325966850829,1448.0
3.0,0.6568627450980392,0.5447154471544715,0.8271604938271605,162.0
accuracy,0.962433445079866,0.962433445079866,0.962433445079866,0.962433445079866
macro avg,0.8046263375883783,0.7475144966224336,0.888508106105798,20284.0
weighted avg,0.9652327000367336,0.9701300256929692,0.962433445079866,20284.0
