,f1-score,precision,recall,support
0.0,0.727864406779661,0.9432437181514672,0.5925598851970416,18118.0
1.0,0.11639309315710938,0.0660217654171705,0.4910071942446043,556.0
2.0,0.35934291581108835,0.25569842197545295,0.6042817679558011,1448.0
3.0,0.03185136031851361,0.017843866171003718,0.14814814814814814,162.0
accuracy,0.5870636955235654,0.5870636955235654,0.5870636955235654,0.5870636955235654
macro avg,0.3088629440165931,0.3207019429287736,0.4589992488863988,20284.0
weighted avg,0.6792373468889423,0.8627262772816204,0.5870636955235654,20284.0
