,f1-score,precision,recall,support
0.0,0.8085119699577531,0.9335838693358387,0.712992604040181,18118.0
1.0,0.18314255983350675,0.11345079501504082,0.4748201438848921,556.0
2.0,0.36017176596886735,0.29455662862159787,0.4633977900552486,1448.0
3.0,0.006986027944111776,0.003800217155266015,0.043209876543209874,162.0
accuracy,0.6832971800433839,0.6832971800433839,0.6832971800433839,0.6832971800433839
macro avg,0.3397030809260597,0.33634787753193585,0.4236051036308829,20284.0
weighted avg,0.7529633005626043,0.8580597919581107,0.6832971800433839,20284.0
