,f1-score,precision,recall,support
0.0,0.6596603512855013,0.9668478840208933,0.500607131029915,18118.0
1.0,0.15154693235448347,0.08870472682627378,0.5197841726618705,556.0
2.0,0.5137805512220489,0.41201000834028356,0.6823204419889503,1448.0
3.0,0.05694213348123498,0.029350104821802937,0.9506172839506173,162.0
accuracy,0.5176986787615855,0.5176986787615855,0.5176986787615855,0.5176986787615855
macro avg,0.34548249208581716,0.3742281810023134,0.6633322574078382,20284.0
weighted avg,0.6305050878906178,0.8956820646748085,0.5176986787615856,20284.0
