,f1-score,precision,recall,support
0.0,0.6757617427806326,0.9811895754518706,0.5153438569378519,18118.0
1.0,0.1586237712243074,0.09056122448979592,0.6384892086330936,556.0
2.0,0.42608536361971056,0.2899526302667664,0.8031767955801105,1448.0
3.0,0.09403134378126042,0.049700387733521326,0.8703703703703703,162.0
accuracy,0.5421021494774206,0.5421021494774206,0.5421021494774206,0.5421021494774206
macro avg,0.3386255553514777,0.35285095448548853,0.7068450578803566,20284.0
weighted avg,0.6391170753655158,0.8999924886754302,0.5421021494774206,20284.0
