,f1-score,precision,recall,support
0.0,0.8232011656384661,0.9390338779263031,0.732807153107407,18118.0
1.0,0.2466467958271237,0.15554511278195488,0.5953237410071942,556.0
2.0,0.3453681710213777,0.2632150615496017,0.5020718232044199,1448.0
3.0,0.09880028228652081,0.055776892430278883,0.43209876543209874,162.0
accuracy,0.7101656478012226,0.7101656478012226,0.7101656478012226,0.7101656478012226
macro avg,0.37850410369337206,0.3533927361720346,0.56557537068778,20284.0
weighted avg,0.7675011385765619,0.8622594236182732,0.7101656478012226,20284.0
