,f1-score,precision,recall,support
0.0,0.676737160120846,0.930807885581755,0.5316260072855724,18118.0
1.0,0.15133055466495673,0.09207959422551697,0.4244604316546763,556.0
2.0,0.40696608615948676,0.3649315068493151,0.4599447513812155,1448.0
3.0,0.04623467600700525,0.023792357606344627,0.8148148148148148,162.0
accuracy,0.5258331690001972,0.5258331690001972,0.5258331690001972,0.5258331690001972
macro avg,0.32031711923807366,0.3529028360657329,0.5577115012840698,20284.0
weighted avg,0.638041834240548,0.860177909150545,0.5258331690001973,20284.0
