,f1-score,precision,recall,support
0.0,0.7853157121879589,0.9605651792129002,0.6641461529970195,18118.0
1.0,0.21881123448726322,0.13367916999201915,0.6025179856115108,556.0
2.0,0.3217252960933357,0.21620337372297457,0.6284530386740331,1448.0
3.0,0.2176079734219269,0.1257197696737044,0.808641975308642,162.0
accuracy,0.661062906724512,0.661062906724512,0.661062906724512,0.661062906724512
macro avg,0.38586505404762117,0.3590418731503996,0.6759397881478014,20284.0
weighted avg,0.732159329532334,0.8780947852165695,0.661062906724512,20284.0
