,f1-score,precision,recall,support
0.0,0.532096445905746,0.9148048452220727,0.37515178275747874,18118.0
1.0,0.11382478153708268,0.06501151778858459,0.4568345323741007,556.0
2.0,0.21386562110140797,0.1441268316118184,0.4143646408839779,1448.0
3.0,0.04650222401940962,0.02403846153846154,0.7098765432098766,162.0
accuracy,0.38286334056399135,0.38286334056399135,0.38286334056399135,0.38286334056399135
macro avg,0.22657226814091155,0.2869954140402343,0.48905687480635845,20284.0
weighted avg,0.4940357308765978,0.8293813090399875,0.38286334056399135,20284.0
