,f1-score,precision,recall,support
0.0,0.6656976744186046,0.9742607955754095,0.5055745667292195,18118.0
1.0,0.12099430967355494,0.06599150604377654,0.7266187050359713,556.0
2.0,0.5029650779705688,0.3687600644122383,0.7907458563535912,1448.0
3.0,0.1386901485965878,0.07613293051359517,0.7777777777777778,162.0
accuracy,0.5341648590021691,0.5341648590021691,0.5341648590021691,0.5341648590021691
macro avg,0.35708680266482906,0.3712863241362549,0.70017922647414,20284.0
weighted avg,0.6349410638073756,0.89896699268427,0.5341648590021691,20284.0
