,f1-score,precision,recall,support
0.0,0.891781887831448,0.9740455020920502,0.8223313831548736,18118.0
1.0,0.33736017897091725,0.22453841572364502,0.6780575539568345,556.0
2.0,0.5204539456320929,0.4211875266979923,0.680939226519337,1448.0
3.0,0.23539823008849556,0.13739669421487602,0.8209876543209876,162.0
accuracy,0.808272530072964,0.808272530072964,0.808272530072964,0.808272530072964
macro avg,0.4962485606307384,0.4392920346821409,0.7505789544880083,20284.0
weighted avg,0.8448347628568138,0.9073524733369953,0.808272530072964,20284.0
