,f1-score,precision,recall,support
0.0,0.7693530756235715,0.9620578245381493,0.6409647864002649,18118.0
1.0,0.17672123794572772,0.10094798872662054,0.7086330935251799,556.0
2.0,0.441717791411043,0.33548387096774196,0.6464088397790055,1448.0
3.0,0.07847800237812129,0.04342105263157895,0.4074074074074074,162.0
accuracy,0.6413429303884836,0.6413429303884836,0.6413429303884836,0.6413429303884836
macro avg,0.36656752683961585,0.36047768421602266,0.6008535317779644,20284.0
weighted avg,0.7242021707155462,0.8863885625321334,0.6413429303884836,20284.0
