,f1-score,precision,recall,support
0.0,0.5602192638997651,0.9638911344651038,0.39485594436472016,18118.0
1.0,0.12450481041312958,0.06954689146469968,0.5935251798561151,556.0
2.0,0.4635861376192868,0.3642462509865825,0.6374309392265194,1448.0
3.0,0.05395996518711923,0.027762851513523194,0.9567901234567902,162.0
accuracy,0.42210609347268785,0.42210609347268785,0.42210609347268785,0.42210609347268785
macro avg,0.3005675442798252,0.35636178210747727,0.6456505467260363,20284.0
weighted avg,0.5373344280989295,0.8890935613915838,0.42210609347268785,20284.0
