,f1-score,precision,recall,support
0.0,0.6742159664161993,0.9342066673184084,0.5274312838061597,18118.0
1.0,0.14975507347795664,0.09296264118158123,0.38489208633093525,556.0
2.0,0.4348341232227488,0.38070539419087135,0.5069060773480663,1448.0
3.0,0.042759311842325044,0.021974248927038628,0.7901234567901234,162.0
accuracy,0.5241569710116348,0.5241569710116348,0.5241569710116348,0.5241569710116348
macro avg,0.3253911187398075,0.3574622379044749,0.5523382260688212,20284.0
weighted avg,0.6377083178528614,0.8643494806786847,0.5241569710116348,20284.0
