,f1-score,precision,recall,support
0.0,0.9808991901703433,0.9927085688446755,0.9693674798542885,18118.0
1.0,0.6603081438004402,0.5576208178438662,0.8093525179856115,556.0
2.0,0.9159439626417613,0.8858064516129033,0.9482044198895028,1448.0
3.0,0.6901763224181361,0.5829787234042553,0.845679012345679,162.0
accuracy,0.962482745020706,0.962482745020706,0.962482745020706,0.962482745020706
macro avg,0.8118319047576703,0.7547786404264251,0.8931508575187703,20284.0
weighted avg,0.9651527449022053,0.9698787872301319,0.962482745020706,20284.0
