,f1-score,precision,recall,support
0.0,0.8232000254525788,0.9717569293172087,0.7140412849100343,18118.0
1.0,0.2837723024638912,0.185761957730812,0.6007194244604317,556.0
2.0,0.46015037593984953,0.33395696913002804,0.7396408839779005,1448.0
3.0,0.12406015037593986,0.0671414038657172,0.8148148148148148,162.0
accuracy,0.7135673437191875,0.7135673437191875,0.7135673437191875,0.7135673437191875
macro avg,0.4227957135580648,0.3896543150109415,0.7173041020407953,20284.0
weighted avg,0.7769133775409953,0.8974572220762198,0.7135673437191875,20284.0
