,f1-score,precision,recall,support
0.0,0.7729899820190085,0.924074927068939,0.6643669279169886,18118.0
1.0,0.1913322632423756,0.11645173896053146,0.5359712230215827,556.0
2.0,0.22595596755504058,0.15683646112600536,0.40400552486187846,1448.0
3.0,0.10433244916003537,0.0608875128998968,0.36419753086419754,162.0
accuracy,0.6398639321632814,0.6398639321632814,0.6398639321632814,0.6398639321632814
macro avg,0.323652665494115,0.31456266001384314,0.4921353016661619,20284.0
weighted avg,0.7126552618007681,0.8402731053193322,0.6398639321632814,20284.0
