,f1-score,precision,recall,support
0.0,0.8129854997410667,0.9828611676318673,0.693178054972955,18118.0
1.0,0.28374543980543165,0.18315018315018314,0.6294964028776978,556.0
2.0,0.48006316620607975,0.33609729132117194,0.8397790055248618,1448.0
3.0,0.13370733987844788,0.07233181588265047,0.8827160493827161,162.0
accuracy,0.7034115559061329,0.7034115559061329,0.7034115559061329,0.7034115559061329
macro avg,0.4276253614077565,0.3936101144964682,0.7612923781895576,20284.0
weighted avg,0.7692874089216711,0.9074983617132577,0.7034115559061329,20284.0
