,f1-score,precision,recall,support
0.0,0.732507439961243,0.9818181818181818,0.5841704382382161,18118.0
1.0,0.17255467435712568,0.09958391123439667,0.64568345323741,556.0
2.0,0.49353093389790637,0.37424188369603995,0.7244475138121547,1448.0
3.0,0.09023941068139964,0.04748062015503876,0.9074074074074074,162.0
accuracy,0.5984519818576217,0.5984519818576217,0.5984519818576217,0.5984519818576217
macro avg,0.37220811472441867,0.3757811492259143,0.715427203173797,20284.0
weighted avg,0.6949695214442377,0.9068006596768449,0.5984519818576217,20284.0
