,f1-score,precision,recall,support
0.0,0.8768098599976067,0.957217504898759,0.808864113036759,18118.0
1.0,0.3156790770844258,0.22279792746113988,0.5413669064748201,556.0
2.0,0.4431715405486886,0.39325842696629215,0.5075966850828729,1448.0
3.0,0.1315240083507307,0.07183580387685291,0.7777777777777778,162.0
accuracy,0.7797771642674028,0.7797771642674028,0.7797771642674028,0.7797771642674028
macro avg,0.44179612149536296,0.411277415800761,0.6589013705930574,20284.0
weighted avg,0.8245207005700501,0.889756359884606,0.7797771642674028,20284.0
