,f1-score,precision,recall,support
0.0,0.8769677517958124,0.9827361786668494,0.7917540567391544,18118.0
1.0,0.3056092843326886,0.19467718087727945,0.710431654676259,556.0
2.0,0.6449254990160248,0.543859649122807,0.7921270718232044,1448.0
3.0,0.1624780829924021,0.08973531310522918,0.8580246913580247,162.0
accuracy,0.7900808519029777,0.7900808519029777,0.7900808519029777,0.7900808519029777
macro avg,0.49749515453423204,0.4527520804430412,0.7880843686491608,20284.0
weighted avg,0.8390354003719915,0.9226730669644357,0.7900808519029777,20284.0
