,f1-score,precision,recall,support
0.0,0.515067613659163,0.9434073202998677,0.3542333590904073,18118.0
1.0,0.1181226139681114,0.06748781113677188,0.47302158273381295,556.0
2.0,0.24701195219123506,0.1702851164007324,0.449585635359116,1448.0
3.0,0.04187067364511227,0.021524040965110226,0.7654320987654321,162.0
accuracy,0.3675803589035693,0.3675803589035693,0.3675803589035693,0.3675803589035693
macro avg,0.23051821336590544,0.3006760722006206,0.510568168987192,20284.0
weighted avg,0.4812723108630646,0.8568446457981492,0.3675803589035693,20284.0
