,f1-score,precision,recall,support
0.0,0.7566334180846209,0.9240445859872611,0.640578430290319,18118.0
1.0,0.12585875240450675,0.07427830035679533,0.4118705035971223,556.0
2.0,0.23808506091045098,0.17239244815846488,0.3846685082872928,1448.0
3.0,0.024173027989821887,0.01347517730496454,0.11728395061728394,162.0
accuracy,0.611861565766121,0.611861565766121,0.611861565766121,0.611861565766121
macro avg,0.2861875648473501,0.2960476279518715,0.3886003481980045,20284.0
weighted avg,0.6964762834710487,0.8398218195411377,0.611861565766121,20284.0
