,f1-score,precision,recall,support
0.0,0.6857561383928571,0.9314951677089255,0.5426095595540347,18118.0
1.0,0.14652426456810944,0.08178205396360594,0.7032374100719424,556.0
2.0,0.2621987066431511,0.18303693570451438,0.4620165745856354,1448.0
3.0,0.11538461538461539,0.06491499227202473,0.5185185185185185,162.0
accuracy,0.5410668507197791,0.5410668507197791,0.5410668507197791,0.5410668507197791
macro avg,0.30246593124718324,0.3153072874122676,0.5565955156825327,20284.0
weighted avg,0.6361838513810513,0.8478531838987517,0.5410668507197791,20284.0
