,f1-score,precision,recall,support
0.0,0.8444876336165011,0.977290865559022,0.7434595429959157,18118.0
1.0,0.36382113821138207,0.2535410764872521,0.6438848920863309,556.0
2.0,0.4678500986193294,0.3274434014356709,0.819060773480663,1448.0
3.0,0.17188459177409454,0.09543285616905249,0.8641975308641975,162.0
accuracy,0.7470913034904358,0.7470913034904358,0.7470913034904358,0.7470913034904358
macro avg,0.4620108655553268,0.41342704991274937,0.7676506848567767,20284.0
weighted avg,0.7990536257827593,0.9040190745761936,0.7470913034904358,20284.0
