,f1-score,precision,recall,support
0.0,0.8672269950066682,0.9898053097345133,0.7716635390219672,18118.0
1.0,0.30071599045346065,0.1855279764408919,0.7931654676258992,556.0
2.0,0.6883845126835783,0.5611667392250762,0.8901933701657458,1448.0
3.0,0.17364905889496055,0.0962962962962963,0.8827160493827161,162.0
accuracy,0.7816012620784855,0.7816012620784855,0.7816012620784855,0.7816012620784855
macro avg,0.5074941392596669,0.4581990804241944,0.834434606549082,20284.0
weighted avg,0.833392265240078,0.9300244328075802,0.7816012620784856,20284.0
