,f1-score,precision,recall,support
0.0,0.8828003298817922,0.988372888311333,0.7976045921183353,18118.0
1.0,0.3763636363636364,0.2518248175182482,0.7446043165467626,556.0
2.0,0.6434651977966951,0.50471327572663,0.8874309392265194,1448.0
3.0,0.17859327217125381,0.09911744738628649,0.9012345679012346,162.0
accuracy,0.8033918359297969,0.8033918359297969,0.8033918359297969,0.8033918359297969
macro avg,0.5203056090533443,0.4610071072356245,0.832718603948213,20284.0
weighted avg,0.8462090453124557,0.9265547445619018,0.8033918359297969,20284.0
