,f1-score,precision,recall,support
0.0,0.6655950850121445,0.9432071269487751,0.5142399823380064,18118.0
1.0,0.15024458420684833,0.09323503902862099,0.38669064748201437,556.0
2.0,0.4739782416936196,0.4126984126984127,0.5566298342541437,1448.0
3.0,0.042478998256459025,0.02179925166748007,0.8271604938271605,162.0
accuracy,0.5162689804772235,0.5162689804772235,0.5162689804772235,0.5162689804772235
macro avg,0.3330742272922679,0.36773495758582225,0.5711802394753313,20284.0
weighted avg,0.6328135392801691,0.8746787708595568,0.5162689804772235,20284.0
