,f1-score,precision,recall,support
0.0,0.9057641712508969,0.9881278538812786,0.8360746219229496,18118.0
1.0,0.4123814278582127,0.28541810642709053,0.7428057553956835,556.0
2.0,0.7128162357520156,0.596556537924616,0.8853591160220995,1448.0
3.0,0.1907894736842105,0.10677466863033873,0.8950617283950617,162.0
accuracy,0.837507394991126,0.837507394991126,0.837507394991126,0.837507394991126
macro avg,0.5554378271363339,0.494219291715831,0.8398253054339486,20284.0
weighted avg,0.8727561197356871,0.9338742007014114,0.837507394991126,20284.0
