,f1-score,precision,recall,support
0.0,0.8923933771226201,0.9880689054226155,0.8136107738160945,18118.0
1.0,0.33798449612403103,0.21541501976284586,0.7841726618705036,556.0
2.0,0.7628302459763134,0.6807588075880758,0.8674033149171271,1448.0
3.0,0.17249698431845598,0.09558823529411764,0.8827160493827161,162.0
accuracy,0.8171958193650167,0.8171958193650167,0.8171958193650167,0.8171958193650167
macro avg,0.5414262758853552,0.4949577420169138,0.8369756999966103,20284.0
weighted avg,0.8621980523657012,0.9378242568990471,0.8171958193650167,20284.0
