,f1-score,precision,recall,support
0.0,0.9780573025856044,0.9908251684884182,0.965614306214814,18118.0
1.0,0.6354466858789625,0.5300480769230769,0.7931654676258992,556.0
2.0,0.9006711409395973,0.8759791122715405,0.9267955801104972,1448.0
3.0,0.6399999999999999,0.5171102661596958,0.8395061728395061,162.0
accuracy,0.9571090514691383,0.9571090514691383,0.9571090514691383,0.9571090514691383
macro avg,0.7885437823510411,0.7284906559606829,0.8812703816976792,20284.0
weighted avg,0.9604418446891748,0.9662131113749483,0.9571090514691383,20284.0
