,f1-score,precision,recall,support
0.0,0.5056197946147004,0.9451330108827086,0.3451263936416823,18118.0
1.0,0.12451662799690641,0.06975736568457538,0.579136690647482,556.0
2.0,0.25015328019619865,0.1607565011820331,0.56353591160221,1448.0
3.0,0.044465925567907204,0.023138832997987926,0.5679012345679012,162.0
accuracy,0.36891145730625124,0.36891145730625124,0.36891145730625124,0.36891145730625124
macro avg,0.23118890709392817,0.2996964276868263,0.5139250576148189,20284.0
weighted avg,0.47325360449918746,0.8577809549965882,0.36891145730625124,20284.0
