,f1-score,precision,recall,support
0.0,0.6525637741097244,0.9684953829440521,0.49205210288111273,18118.0
1.0,0.10098302055406613,0.05505034101981163,0.6097122302158273,556.0
2.0,0.5208824159348896,0.3775225085377212,0.8397790055248618,1448.0
3.0,0.1364124597207304,0.07470588235294118,0.7839506172839507,162.0
accuracy,0.5224314730822323,0.5224314730822323,0.5224314730822323,0.5224314730822323
macro avg,0.35271041757985266,0.3689435287136315,0.6813734889764381,20284.0
weighted avg,0.6239219865655949,0.8941314475986565,0.5224314730822323,20284.0
