,precision,recall,f1-score,support
0.0,0.957169459962756,0.5673915443205652,0.7124540855222122,18118.0
1.0,0.05776930409914204,0.5449640287769785,0.10446474745733494,556.0
2.0,0.3076923076923077,0.6353591160220995,0.41460117169896354,1448.0
3.0,0.08403361344537816,0.6790123456790124,0.1495581237253569,162.0
accuracy,0.5725202129757444,0.5725202129757444,0.5725202129757444,0.5725202129757444
macro avg,0.35166617129989597,0.6066817586996639,0.3452695321009669,20284.0
weighted avg,0.879179053224263,0.5725202129757444,0.6700303901469793,20284.0
