,precision,recall,f1-score,support
0.0,0.9869468894078199,0.9097582514626339,0.9467819294063586,18118.0
1.0,0.3244882486732373,0.7697841726618705,0.4565333333333333,556.0
2.0,0.710483432916893,0.9033149171270718,0.7953785345089692,1448.0
3.0,0.2860520094562648,0.7469135802469136,0.4136752136752137,162.0
accuracy,0.904160915006902,0.904160915006902,0.904160915006902,0.904160915006902
macro avg,0.5769926451135537,0.8324427303746225,0.6530922527309687,20284.0
weighted avg,0.9434549223500679,0.904160915006902,0.9182780039884694,20284.0
