,precision,recall,f1-score,support
0.0,0.977430230380221,0.576056959929352,0.7248923461591887,18118.0
1.0,0.08364159473900534,0.7320143884892086,0.150129103651789,556.0
2.0,0.3831927319922129,0.8156077348066298,0.5214128035320088,1448.0
3.0,0.07539203860072376,0.7716049382716049,0.13736263736263735,162.0
accuracy,0.5989942812068626,0.5989942812068626,0.5989942812068626,0.5989942812068626
macro avg,0.37991414892804076,0.7238210053741988,0.38344922267640597,20284.0
weighted avg,0.9033061638178749,0.5989942812068626,0.6899196310446496,20284.0
