,precision,recall,f1-score,support
0.0,0.9409544199673221,0.9217904846009494,0.9312738729193966,18118.0
1.0,0.19946808510638298,0.2697841726618705,0.2293577981651376,556.0
2.0,0.48551637279596976,0.5324585635359116,0.507905138339921,1448.0
3.0,0.3128205128205128,0.3765432098765432,0.34173669467787116,162.0
accuracy,0.8717708538749753,0.8717708538749753,0.8717708538749753,0.8717708538749753
macro avg,0.4846898476725469,0.5251441076688187,0.5025683760255816,20284.0
weighted avg,0.8831010188903855,0.8717708538749753,0.8771026893210147,20284.0
